WRKCOUNT,TRIPPURP,HHSIZE,NWALKTRP,HHFAMINC2,TIMETOWK,WHYFROM,WKFMHMXX,WEBUSE,WHYTRP1S,WRKTRANS,WHYTO,HOUSEID,URBRUR,DRIVER,NBIKETRP,HHFAMINC,R_AGE,PERSONID,CNTTDTR,GCDWORK
1,NHB,3,-9,NotAscertained,-9,DropSomeoneOff,Skip,NotAscertained,ToWork,NotAscertained,GoToWork,10036875,Urban,Yes,-9,NotAscertained,22,1,8,-1
1,HBW,3,-9,NotAscertained,-9,GoToWork,Skip,NotAscertained,ReturnHome,NotAscertained,Home,10036875,Urban,Yes,-9,NotAscertained,22,1,8,-1
1,HBSOCREC,3,-9,NotAscertained,-9,Home,Skip,NotAscertained,SocialRecreation,NotAscertained,VisitFriends,10036875,Urban,Yes,-9,NotAscertained,22,1,8,-1
1,NHB,3,-9,NotAscertained,-9,VisitFriends,Skip,NotAscertained,Shopping,NotAscertained,BuyGas,10036875,Urban,Yes,-9,NotAscertained,22,1,8,-1
1,NHB,3,-9,NotAscertained,-9,BuyGas,Skip,NotAscertained,SocialRecreation,NotAscertained,VisitFriends,10036875,Urban,Yes,-9,NotAscertained,22,1,8,-1
1,NHB,3,-9,NotAscertained,-9,VisitFriends,Skip,NotAscertained,ServePassenger,NotAscertained,PickUpSomeone,10036875,Urban,Yes,-9,NotAscertained,22,1,8,-1
1,HBO,3,-9,NotAscertained,-9,PickUpSomeone,Skip,NotAscertained,ReturnHome,NotAscertained,Home,10036875,Urban,Yes,-9,NotAscertained,22,1,8,-1
1,HBO,3,-1,NotAscertained,-1,Home,Skip,Skip,School,Skip,GoSchoolAsStudent,10036875,Urban,Skip,-1,NotAscertained,3,2,2,-1
1,HBO,3,-1,NotAscertained,-1,GoSchoolAsStudent,Skip,Skip,ReturnHome,Skip,Home,10036875,Urban,Skip,-1,NotAscertained,3,2,2,-1
1,HBO,3,-1,NotAscertained,-1,Home,Skip,Skip,ServePassenger,Skip,DropSomeoneOff,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
1,HBO,3,-1,NotAscertained,-1,DropSomeoneOff,Skip,Skip,ReturnHome,Skip,Home,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
1,HBW,3,-1,NotAscertained,-1,Home,Skip,Skip,ToWork,Skip,GoToWork,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
1,HBW,3,-1,NotAscertained,-1,GoToWork,Skip,Skip,ReturnHome,Skip,Home,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
1,HBSOCREC,3,-1,NotAscertained,-1,Home,Skip,Skip,SocialRecreation,Skip,VisitFriends,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
1,NHB,3,-1,NotAscertained,-1,VisitFriends,Skip,Skip,Shopping,Skip,BuyGas,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
1,NHB,3,-1,NotAscertained,-1,BuyGas,Skip,Skip,SocialRecreation,Skip,VisitFriends,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
1,NHB,3,-1,NotAscertained,-1,VisitFriends,Skip,Skip,ServePassenger,Skip,PickUpSomeone,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
1,HBO,3,-1,NotAscertained,-1,PickUpSomeone,Skip,Skip,ReturnHome,Skip,Home,10036875,Urban,Yes,-1,NotAscertained,-8,3,9,-1
2,HBW,3,2,High,5,Home,Skip,SeveralWeek,ToWork,Car,GoToWork,10040322,Urban,Yes,0,50K-55K,31,1,4,5
2,HBW,3,2,High,5,GoToWork,Skip,SeveralWeek,ReturnHome,Car,Home,10040322,Urban,Yes,0,50K-55K,31,1,4,5
2,HBW,3,2,High,5,Home,Skip,SeveralWeek,ReturnWork,Car,ReturnToWork,10040322,Urban,Yes,0,50K-55K,31,1,4,5
2,HBW,3,2,High,5,ReturnToWork,Skip,SeveralWeek,ReturnHome,Car,Home,10040322,Urban,Yes,0,50K-55K,31,1,4,5
2,HBSOCREC,3,3,High,15,Home,Skip,AlmostEveryday,SocialRecreation,Car,VisitFriends,10040322,Urban,Yes,0,50K-55K,31,2,2,2
2,HBSOCREC,3,3,High,15,VisitFriends,Skip,AlmostEveryday,ReturnHome,Car,Home,10040322,Urban,Yes,0,50K-55K,31,2,2,2
2,HBSOCREC,3,-1,High,-1,Home,Skip,Skip,SocialRecreation,Skip,VisitFriends,10040322,Urban,No,-1,50K-55K,-8,3,2,-1
2,HBSOCREC,3,-1,High,-1,VisitFriends,Skip,Skip,ReturnHome,Skip,Home,10040322,Urban,No,-1,50K-55K,-8,3,2,-1
2,HBO,2,1,Low,-1,Home,Skip,Skip,ServePassenger,Skip,PickUpSomeone,10045224,Urban,Yes,0,20K-25K,46,1,2,-1
2,HBO,2,1,Low,-1,PickUpSomeone,Skip,Skip,ReturnHome,Skip,Home,10045224,Urban,Yes,0,20K-25K,46,1,2,-1
2,HBW,2,5,Low,20,Home,Skip,Skip,ToWork,Car,GoToWork,10045224,Urban,Yes,0,20K-25K,50,2,4,5
2,HBW,2,5,Low,20,GoToWork,Skip,Skip,ReturnHome,Car,Home,10045224,Urban,Yes,0,20K-25K,50,2,4,5
2,HBSOCREC,2,5,Low,20,Home,Skip,Skip,SocialRecreation,Car,VisitFriends,10045224,Urban,Yes,0,20K-25K,50,2,4,5
2,HBSOCREC,2,5,Low,20,VisitFriends,Skip,Skip,ReturnHome,Car,Home,10045224,Urban,Yes,0,20K-25K,50,2,4,5
1,HBW,2,4,ExtremelyLow,8,Home,Skip,Skip,ToWork,Walk,GoToWork,10048672,Urban,No,0,5K-10K,53,1,2,7
1,HBW,2,4,ExtremelyLow,8,GoToWork,Skip,Skip,ReturnHome,Walk,Home,10048672,Urban,No,0,5K-10K,53,1,2,7
1,HBW,1,2,High,20,Home,Skip,SeveralWeek,ToWork,Car,GoToWork,10050648,Urban,Yes,0,45K-50K,43,1,3,8
1,NHB,1,2,High,20,GoToWork,Skip,SeveralWeek,WorkRelated,Car,OtherWorkRelated,10050648,Urban,Yes,0,45K-50K,43,1,3,8
1,NHB,1,2,High,20,OtherWorkRelated,Skip,SeveralWeek,WorkRelated,Car,OtherWorkRelated,10050648,Urban,Yes,0,45K-50K,43,1,3,8
1,HBW,1,3,Low,-1,Home,Skip,AlmostEveryday,ToWork,Skip,GoToWork,10052660,Urban,Yes,0,25K-30K,50,1,6,0
1,NHB,1,3,Low,-1,GoToWork,Skip,AlmostEveryday,WorkRelated,Skip,OtherWorkRelated,10052660,Urban,Yes,0,25K-30K,50,1,6,0
1,NHB,1,3,Low,-1,OtherWorkRelated,Skip,AlmostEveryday,EatMeal,Skip,GetMeal,10052660,Urban,Yes,0,25K-30K,50,1,6,0
1,NHB,1,3,Low,-1,GetMeal,Skip,AlmostEveryday,ReturnWork,Skip,ReturnToWork,10052660,Urban,Yes,0,25K-30K,50,1,6,0
1,NHB,1,3,Low,-1,ReturnToWork,Skip,AlmostEveryday,Family,Skip,PTA,10052660,Urban,Yes,0,25K-30K,50,1,6,0
1,HBO,1,3,Low,-1,PTA,Skip,AlmostEveryday,ReturnHome,Skip,Home,10052660,Urban,Yes,0,25K-30K,50,1,6,0
0,HBO,2,-8,Low,-1,Home,Skip,Skip,Family,Skip,GroomingHaircutNails,10060197,Urban,Yes,0,20K-25K,71,2,5,-1
0,NHB,2,-8,Low,-1,GroomingHaircutNails,Skip,Skip,Shopping,Skip,BuyGoods,10060197,Urban,Yes,0,20K-25K,71,2,5,-1
0,NHB,2,-8,Low,-1,BuyGoods,Skip,Skip,Family,Skip,BuyService,10060197,Urban,Yes,0,20K-25K,71,2,5,-1
0,NHB,2,-8,Low,-1,BuyService,Skip,Skip,SocialRecreation,Skip,VisitFriends,10060197,Urban,Yes,0,20K-25K,71,2,5,-1
0,HBSOCREC,2,-8,Low,-1,VisitFriends,Skip,Skip,ReturnHome,Skip,Home,10060197,Urban,Yes,0,20K-25K,71,2,5,-1
0,HBSHOP,4,3,High,-1,Home,Skip,AlmostEveryday,Family,Skip,BuyService,10061523,Urban,Yes,0,morethan100K,40,1,3,-1
0,NHB,4,3,High,-1,BuyService,Skip,AlmostEveryday,Shopping,Skip,BuyGoods,10061523,Urban,Yes,0,morethan100K,40,1,3,-1
