WRKCOUNT,TRIPPURP,HHSIZE,NWALKTRP,HHFAMINC2,TIMETOWK,WHYFROM,WKFMHMXX,WEBUSE,WEBUSE,WHYTRP1S,WRKTRANS,WHYTO,HOUSEID,URBRUR,DRIVER,NBIKETRP,HHFAMINC,R_AGE,PERSONID,CNTTDTR,GCDWORK
2,HBSHOP,2,3,High,-1,Home,Skip,1,Daily,Meals,NotAscertained,BuyMeals,30020915,Urban,Yes,1,morethan200K,57,2,7,-9.0
2,HBSHOP,2,3,High,-1,BuyMeals,Skip,1,Daily,Home,NotAscertained,WFH,30020915,Urban,Yes,1,morethan200K,57,2,7,-9.0
2,HBW,2,3,High,-1,WFH,Skip,1,Daily,WorkRelated,NotAscertained,WorkRelated,30020915,Urban,Yes,1,morethan200K,57,2,7,-9.0
2,HBW,2,3,High,-1,WorkRelated,Skip,1,Daily,Home,NotAscertained,Home,30020915,Urban,Yes,1,morethan200K,57,2,7,-9.0
2,HBSOCREC,2,3,High,-1,Home,Skip,1,Daily,SocialRecreation,NotAscertained,SocialRecreational,30020915,Urban,Yes,1,morethan200K,57,2,7,-9.0
2,NHB,2,3,High,-1,SocialRecreational,Skip,1,Daily,Meals,NotAscertained,BuyMeals,30020915,Urban,Yes,1,morethan200K,57,2,7,-9.0
2,HBSHOP,2,3,High,-1,BuyMeals,Skip,1,Daily,Home,NotAscertained,Home,30020915,Urban,Yes,1,morethan200K,57,2,7,-9.0
1,HBO,1,4,High,60,Home,Skip,1,Daily,TransportSomeone,Car,PickUpOrDropSomeone,30021637,Urban,Yes,0,150K-200K,60,1,7,13.87
1,NHB,1,4,High,60,PickUpOrDropSomeone,Skip,1,Daily,WorkRelated,Car,Work,30021637,Urban,Yes,0,150K-200K,60,1,7,13.87
1,NHB,1,4,High,60,Work,Skip,1,Daily,Meals,Car,BuyMeals,30021637,Urban,Yes,0,150K-200K,60,1,7,13.87
1,NHB,1,4,High,60,BuyMeals,Skip,1,Daily,WorkRelated,Car,Work,30021637,Urban,Yes,0,150K-200K,60,1,7,13.87
1,NHB,1,4,High,60,Work,Skip,1,Daily,TransportSomeone,Car,PickUpOrDropSomeone,30021637,Urban,Yes,0,150K-200K,60,1,7,13.87
1,NHB,1,4,High,60,PickUpOrDropSomeone,Skip,1,Daily,Meals,Car,BuyMeals,30021637,Urban,Yes,0,150K-200K,60,1,7,13.87
1,HBSHOP,1,4,High,60,BuyMeals,Skip,1,Daily,Home,Car,Home,30021637,Urban,Yes,0,150K-200K,60,1,7,13.87
1,HBW,2,2,High,-1,Home,Skip,1,Daily,WorkRelated,Skip,WorkRelated,30021732,Urban,Yes,0,75K-100K,64,1,2,-9.0
1,HBW,2,2,High,-1,WorkRelated,Skip,1,Daily,Home,Skip,Home,30021732,Urban,Yes,0,75K-100K,64,1,2,-9.0
1,HBW,1,7,ExtremelyLow,12,Home,Skip,1,Daily,WorkRelated,Car,Work,30021736,Urban,Yes,1,10K-15K,59,1,4,2.97
1,NHB,1,7,ExtremelyLow,12,Work,Skip,1,Daily,SocialRecreation,Car,GoToGym,30021736,Urban,Yes,1,10K-15K,59,1,4,2.97
1,NHB,1,7,ExtremelyLow,12,GoToGym,Skip,1,Daily,Shopping,Car,BuyService,30021736,Urban,Yes,1,10K-15K,59,1,4,2.97
1,HBSHOP,1,7,ExtremelyLow,12,BuyService,Skip,1,Daily,Home,Car,Home,30021736,Urban,Yes,1,10K-15K,59,1,4,2.97
2,HBSHOP,5,2,High,-1,Home,Skip,1,Daily,Shopping,NotAscertained,BuyGoods,30021764,Rural,Yes,0,75K-100K,35,1,3,-9.0
2,NHB,5,2,High,-1,BuyGoods,Skip,1,Daily,Shopping,NotAscertained,BuyGoods,30021764,Rural,Yes,0,75K-100K,35,1,3,-9.0
2,HBSHOP,5,2,High,-1,BuyGoods,Skip,1,Daily,Home,NotAscertained,Home,30021764,Rural,Yes,0,75K-100K,35,1,3,-9.0
2,HBSHOP,5,7,High,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30021764,Rural,Skip,3,75K-100K,5,3,3,-9.0
2,NHB,5,7,High,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30021764,Rural,Skip,3,75K-100K,5,3,3,-9.0
