HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE,HHSIZE,WEBUSE.1,HHFAMINC2
30018139,1,1,1,4,8,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,8,1,1,5,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,5,1,1,2,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,3,1,1,1,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,2,3,2,3,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,0,2,1,2,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,3,1,1,2,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30018139,1,3,2,2,3,0,0,0,69,0,0,4,0,0,-1,0,0,0,2,11,-9.0,-9.0,-9.0,0,0,0,2,1,1,0,0
30020036,1,0,2,1,2,3,1,0,37,0,1,14,0,0,8,0,1,1,0,4,3.77,5.09,-9.0,0,0,0,0,1,5,0,2
30020036,1,3,1,1,2,3,1,0,37,0,1,14,0,0,8,0,1,1,0,4,3.77,5.09,-9.0,0,0,0,0,1,5,0,2
30020036,1,3,1,1,2,3,1,0,37,0,1,14,0,0,8,0,1,1,0,4,3.77,5.09,-9.0,0,0,0,0,1,5,0,2
30020036,1,3,2,2,3,3,1,0,37,0,1,14,0,0,8,0,1,1,0,4,3.77,5.09,-9.0,0,0,0,0,1,5,0,2
30020036,3,0,2,1,2,3,1,0,9,1,0,2,0,-1,-1,0,0,0,-1,4,-9.0,-9.0,3.48,0,0,0,0,1,5,0,2
30020036,3,3,1,1,2,3,1,0,9,1,0,2,0,-1,-1,0,0,0,-1,4,-9.0,-9.0,3.48,0,0,0,0,1,5,0,2
30020036,3,3,1,1,2,3,1,0,9,1,0,2,0,-1,-1,0,0,0,-1,4,-9.0,-9.0,3.48,0,0,0,0,1,5,0,2
30020036,3,3,2,2,3,3,1,0,9,1,0,2,0,-1,-1,0,0,0,-1,4,-9.0,-9.0,3.48,0,0,0,0,1,5,0,2
30020036,5,0,2,1,2,3,1,0,67,2,0,0,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,0,0,0,1,5,0,2
30020036,5,3,1,1,2,3,1,0,67,2,0,0,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,0,0,0,1,5,0,2
30020036,5,3,1,1,2,3,1,0,67,2,0,0,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,0,0,0,1,5,0,2
30020036,5,3,2,2,3,3,1,0,67,2,0,0,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,0,0,0,1,5,0,2
30020822,1,0,2,1,2,3,2,0,35,0,1,7,0,0,45,0,1,1,2,5,7.25,10.95,-9.0,2,0,0,0,1,2,0,2
30020822,1,3,1,8,12,3,2,0,35,0,1,7,0,0,45,0,1,1,2,5,7.25,10.95,-9.0,2,0,0,0,1,2,0,2
30020822,1,12,1,3,7,3,2,0,35,0,1,7,0,0,45,0,1,1,2,5,7.25,10.95,-9.0,2,0,0,0,1,2,0,2
