HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE,HHFAMINC2
10081521,1,1,22,0,21,6,11,1,3,50,0,1,0,0,14,5,7,0,12.0,15,3,2
10081521,1,1,21,0,3,3,11,3,3,50,0,1,0,0,14,5,7,0,12.0,15,3,2
10081521,3,1,0,0,25,12,11,2,3,23,0,1,0,6,3,7,7,7,5.0,5,3,2
10081521,3,1,25,0,3,3,11,2,3,23,0,1,0,6,3,7,7,7,5.0,5,3,2
10081521,3,1,0,0,27,6,11,3,3,23,0,1,0,6,3,7,7,7,5.0,5,3,2
10081521,3,1,28,0,27,6,11,1,3,23,0,1,0,6,3,7,7,7,5.0,5,3,2
10081521,3,1,28,0,27,6,11,1,3,23,0,1,0,6,3,7,7,7,5.0,5,3,2
10081521,3,1,28,0,27,6,11,1,3,23,0,1,0,6,3,7,7,7,5.0,5,3,2
10081521,3,1,28,0,3,3,11,3,3,23,0,1,0,6,3,7,7,7,5.0,5,3,2
10084755,1,0,0,0,9,1,9,2,2,31,0,1,0,0,0,4,20,0,0.11,3,2,2
10084755,1,0,9,0,3,3,9,2,2,31,0,1,0,0,0,4,20,0,0.11,3,2,2
10084755,1,0,0,0,28,1,9,2,2,31,0,1,0,0,0,4,20,0,0.11,3,2,2
10084755,1,0,29,0,3,3,9,2,2,31,0,1,0,0,0,4,20,0,0.11,3,2,2
10084755,2,0,0,0,2,2,9,4,2,30,0,2,0,6,5,5,0,0,7.0,15,2,2
10084755,2,0,3,0,9,1,9,1,2,30,0,2,0,6,5,5,0,0,7.0,15,2,2
10084755,2,0,9,0,3,3,9,2,2,30,0,2,0,6,5,5,0,0,7.0,15,2,2
10084755,2,0,0,0,17,11,9,4,2,30,0,2,0,6,5,5,0,0,7.0,15,2,2
10084755,2,0,17,0,3,3,9,4,2,30,0,2,0,6,5,5,0,0,7.0,15,2,2
10087756,1,0,0,0,2,2,0,4,1,47,1,1,4,1,4,3,0,0,6.0,-5,1,0
10087756,1,0,3,0,16,10,0,1,1,47,1,1,4,1,4,3,0,0,6.0,-5,1,0
10087756,1,0,16,0,3,3,0,2,1,47,1,1,4,1,4,3,0,0,6.0,-5,1,0
10094745,1,0,0,0,22,6,14,3,0,63,1,1,0,1,-1,8,7,0,-9.0,-1,2,1
