HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE
10040322,1,1,1,1,11,1,11,1,2,31,1,2,-1,1,5,4,2,0,2,5,3
10040322,1,1,11,1,1,12,11,1,2,31,1,2,-1,1,5,4,2,0,2,5,3
10040322,1,1,1,1,12,11,11,1,2,31,1,2,-1,1,5,4,2,0,2,5,3
10040322,1,1,12,1,1,12,11,1,2,31,1,2,-1,1,5,4,2,0,2,5,3
10040322,2,1,1,1,53,8,11,3,2,31,1,1,-1,1,2,2,3,0,8,15,3
10040322,2,1,53,1,1,12,11,3,2,31,1,1,-1,1,2,2,3,0,8,15,3
10040322,3,1,1,2,53,8,11,3,2,-8,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,3
10040322,3,1,53,2,1,12,11,3,2,-8,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,3
10045224,1,1,1,1,71,10,5,4,2,46,-1,-1,-1,-1,-1,2,1,0,-9,-1,2
10045224,1,1,71,1,1,12,5,4,2,46,-1,-1,-1,-1,-1,2,1,0,-9,-1,2
10045224,2,1,1,1,11,1,5,1,2,50,1,-1,-1,1,5,4,5,0,15,20,2
10045224,2,1,11,1,1,12,5,1,2,50,1,-1,-1,1,5,4,5,0,15,20,2
10045224,2,1,1,1,53,8,5,3,2,50,1,-1,-1,1,5,4,5,0,15,20,2
10045224,2,1,53,1,1,12,5,3,2,50,1,-1,-1,1,5,4,5,0,15,20,2
10048672,1,1,1,2,11,1,2,1,1,53,-1,-1,-1,26,7,2,4,0,1.11,8,2
10048672,1,1,11,2,1,12,2,1,1,53,-1,-1,-1,26,7,2,4,0,1.11,8,2
10050648,1,1,1,1,11,1,10,1,1,43,1,2,-1,1,8,3,2,0,15,20,1
10050648,1,1,11,1,14,2,10,5,1,43,1,2,-1,1,8,3,2,0,15,20,1
10050648,1,1,14,1,14,2,10,5,1,43,1,2,-1,1,8,3,2,0,15,20,1
10052660,1,1,1,1,11,1,6,1,1,50,-1,1,-1,-1,0,6,3,0,-9,-1,1
10052660,1,1,11,1,14,2,6,5,1,50,-1,1,-1,-1,0,6,3,0,-9,-1,1
10052660,1,1,14,1,82,9,6,5,1,50,-1,1,-1,-1,0,6,3,0,-9,-1,1
10052660,1,1,82,1,12,11,6,5,1,50,-1,1,-1,-1,0,6,3,0,-9,-1,1
10052660,1,1,12,1,65,7,6,5,1,50,-1,1,-1,-1,0,6,3,0,-9,-1,1
10052660,1,1,65,1,1,12,6,4,1,50,-1,1,-1,-1,0,6,3,0,-9,-1,1
10060197,2,1,1,1,63,7,5,4,0,71,-1,-1,-1,-1,-1,5,-8,0,-9,-1,2
10060197,2,1,63,1,41,6,5,5,0,71,-1,-1,-1,-1,-1,5,-8,0,-9,-1,2
10060197,2,1,41,1,42,7,5,5,0,71,-1,-1,-1,-1,-1,5,-8,0,-9,-1,2
10060197,2,1,42,1,53,8,5,5,0,71,-1,-1,-1,-1,-1,5,-8,0,-9,-1,2
10060197,2,1,53,1,1,12,5,3,0,71,-1,-1,-1,-1,-1,5,-8,0,-9,-1,2
10061523,1,1,1,1,42,7,18,2,0,40,-1,1,-1,-1,-1,3,3,0,-9,-1,4
10061523,1,1,42,1,41,6,18,5,0,40,-1,1,-1,-1,-1,3,3,0,-9,-1,4
10061523,1,1,41,1,1,12,18,2,0,40,-1,1,-1,-1,-1,3,3,0,-9,-1,4
10061523,2,1,1,1,73,10,18,4,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
10061523,2,1,73,1,51,8,18,5,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
