HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE17,HHSIZE
30018139,1,6,NHB,50,17,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,17,NHB,70,6,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,6,NHB,40,12,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,12,NHB,40,11,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,11,NHB,40,14,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,14,HBO,1,1,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,1,HBSHOP,40,11,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,11,NHB,40,11,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30018139,1,11,HBSHOP,1,1,5,0,1,69,1,-1,4,0,0,-1,-1,-1,-1,2,11,-9,-9,-9,5,1,5,4,1,1
30020036,1,1,HBSHOP,40,11,7,1,1,37,1,3,14,0,0,8,-1,-1,-1,0,4,3.77,5.09,-9,5,1,5,5,1,5
30020036,1,11,NHB,40,11,7,1,1,37,1,3,14,0,0,8,-1,-1,-1,0,4,3.77,5.09,-9,5,1,5,5,1,5
30020036,1,11,NHB,40,11,7,1,1,37,1,3,14,0,0,8,-1,-1,-1,0,4,3.77,5.09,-9,5,1,5,5,1,5
30020036,1,11,HBSHOP,1,1,7,1,1,37,1,3,14,0,0,8,-1,-1,-1,0,4,3.77,5.09,-9,5,1,5,5,1,5
30020036,3,1,HBSHOP,40,11,7,1,1,9,-1,-1,2,0,-1,-1,-1,4,5,-1,4,-9,-9,3.48,5,1,5,5,1,5
30020036,3,11,NHB,40,11,7,1,1,9,-1,-1,2,0,-1,-1,-1,4,5,-1,4,-9,-9,3.48,5,1,5,5,1,5
30020036,3,11,NHB,40,11,7,1,1,9,-1,-1,2,0,-1,-1,-1,4,5,-1,4,-9,-9,3.48,5,1,5,5,1,5
30020036,3,11,HBSHOP,1,1,7,1,1,9,-1,-1,2,0,-1,-1,-1,4,5,-1,4,-9,-9,3.48,5,1,5,5,1,5
30020036,5,1,HBSHOP,40,11,7,1,1,67,2,-1,0,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,1,5,5,1,5
30020036,5,11,NHB,40,11,7,1,1,67,2,-1,0,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,1,5,5,1,5
30020036,5,11,NHB,40,11,7,1,1,67,2,-1,0,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,1,5,5,1,5
30020036,5,11,HBSHOP,1,1,7,1,1,67,2,-1,0,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,1,5,5,1,5
30020822,1,1,HBSHOP,40,11,7,2,1,35,1,3,7,0,0,45,-1,-1,-1,2,5,7.25,10.95,-9,4,1,5,5,1,2
30020822,1,11,NHB,10,3,7,2,1,35,1,3,7,0,0,45,-1,-1,-1,2,5,7.25,10.95,-9,4,1,5,5,1,2
30020822,1,3,NHB,80,13,7,2,1,35,1,3,7,0,0,45,-1,-1,-1,2,5,7.25,10.95,-9,4,1,5,5,1,2
30020822,1,13,NHB,10,3,7,2,1,35,1,3,7,0,0,45,-1,-1,-1,2,5,7.25,10.95,-9,4,1,5,5,1,2
30020822,1,3,HBW,1,1,7,2,1,35,1,3,7,0,0,45,-1,-1,-1,2,5,7.25,10.95,-9,4,1,5,5,1,2
