R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX,HHFAMINC2
50,0,20,0,5,0,3,10045224,5,2,3,21,2,0,4,2,7,0,3,0,0
53,2,8,0,4,0,2,10048672,7,1,2,0,2,4,2,1,8,0,4,0,0
53,2,8,0,4,0,3,10048672,7,1,3,3,2,4,2,1,8,0,4,0,0
43,0,20,0,2,0,2,10050648,8,1,2,0,1,0,3,1,9,3,4,0,2
43,0,20,0,2,0,10,10050648,8,1,16,3,1,0,3,1,9,3,1,0,2
43,0,20,0,2,0,10,10050648,8,1,16,16,1,0,3,1,9,3,1,0,2
50,0,-1,0,3,0,2,10052660,0,1,2,0,1,1,6,1,10,1,4,0,0
50,0,-1,0,3,0,10,10052660,0,1,16,3,1,1,6,1,10,1,1,0,0
50,0,-1,0,3,0,0,10052660,0,1,0,16,1,1,6,1,10,1,1,0,0
50,0,-1,0,3,0,11,10052660,0,1,17,1,1,1,6,1,10,1,1,0,0
50,0,-1,0,3,0,1,10052660,0,1,20,17,1,1,6,1,10,1,1,0,0
50,0,-1,0,3,0,3,10052660,0,1,3,20,1,1,6,1,10,1,2,0,0
71,0,-1,0,-8,0,1,10060197,-1,2,23,0,2,1,5,0,7,0,2,0,0
71,0,-1,0,-8,0,5,10060197,-1,2,6,23,2,1,5,0,7,0,1,0,0
71,0,-1,0,-8,0,1,10060197,-1,2,1,6,2,1,5,0,7,0,1,0,0
71,0,-1,0,-8,0,6,10060197,-1,2,21,2,2,1,5,0,7,0,1,0,0
71,0,-1,0,-8,0,3,10060197,-1,2,3,21,2,1,5,0,7,0,3,0,0
40,0,-1,0,3,0,1,10061523,-1,1,1,0,4,1,3,0,11,1,0,0,2
40,0,-1,0,3,0,5,10061523,-1,1,6,2,4,1,3,0,11,1,1,0,2
40,0,-1,0,3,0,3,10061523,-1,1,3,6,4,1,3,0,11,1,0,0,2
40,0,-1,0,5,0,4,10061523,-1,2,12,0,4,1,9,0,11,1,2,0,2
40,0,-1,0,5,0,6,10061523,-1,2,22,12,4,1,9,0,11,1,1,0,2
40,0,-1,0,5,0,3,10061523,-1,2,3,22,4,1,9,0,11,1,3,0,2
40,0,-1,0,5,0,5,10061523,-1,2,6,0,4,1,9,0,11,1,0,0,2
40,0,-1,0,5,0,3,10061523,-1,2,3,6,4,1,9,0,11,1,0,0,2
40,0,-1,0,5,0,4,10061523,-1,2,10,0,4,1,9,0,11,1,2,0,2
40,0,-1,0,5,0,3,10061523,-1,2,3,10,4,1,9,0,11,1,2,0,2
40,0,-1,0,5,0,5,10061523,-1,2,6,0,4,1,9,0,11,1,0,0,2
40,0,-1,0,5,0,3,10061523,-1,2,3,6,4,1,9,0,11,1,0,0,2
9,1,-1,-1,-1,0,8,10061523,-1,3,13,0,4,1,4,0,11,0,2,0,2
9,1,-1,-1,-1,0,3,10061523,-1,3,3,13,4,1,4,0,11,0,2,0,2
9,1,-1,-1,-1,0,8,10061523,-1,3,24,0,4,1,4,0,11,0,2,0,2
9,1,-1,-1,-1,0,3,10061523,-1,3,3,24,4,1,4,0,11,0,2,0,2
6,1,-1,-1,-1,0,8,10061523,-1,4,13,0,4,1,4,0,11,0,2,0,2
6,1,-1,-1,-1,0,3,10061523,-1,4,3,13,4,1,4,0,11,0,2,0,2
6,1,-1,-1,-1,0,8,10061523,-1,4,24,0,4,1,4,0,11,0,2,0,2
6,1,-1,-1,-1,0,3,10061523,-1,4,3,24,4,1,4,0,11,0,2,0,2
37,0,30,0,5,0,12,10061895,19,1,25,0,3,5,4,1,12,4,2,0,1
37,0,30,0,5,0,3,10061895,19,1,3,25,3,5,4,1,12,4,2,0,1
37,0,30,0,5,0,5,10061895,19,1,6,0,3,5,4,1,12,4,0,0,1
37,0,30,0,5,0,3,10061895,19,1,3,6,3,5,4,1,12,4,0,0,1
11,1,-1,-1,-1,0,1,10061895,-1,2,4,4,3,1,3,1,12,0,1,0,1
11,1,-1,-1,-1,0,5,10061895,-1,2,6,4,3,1,3,1,12,0,1,0,1
11,1,-1,-1,-1,0,3,10061895,-1,2,3,6,3,1,3,1,12,0,0,0,1
7,1,-1,-1,-1,0,3,10061895,-1,3,3,26,3,1,3,1,12,0,2,0,1
7,1,-1,-1,-1,0,5,10061895,-1,3,6,0,3,1,3,1,12,0,0,0,1
7,1,-1,-1,-1,0,3,10061895,-1,3,3,6,3,1,3,1,12,0,0,0,1
24,0,15,0,21,0,8,10062016,3,1,13,0,3,0,2,2,0,1,2,3,0
24,0,15,0,21,0,3,10062016,3,1,3,13,3,0,2,2,0,1,2,3,0
25,0,-1,0,0,0,8,10062016,-1,2,13,0,3,1,5,2,0,1,2,0,0
25,0,-1,0,0,0,3,10062016,-1,2,3,13,3,1,5,2,0,1,2,0,0
25,0,-1,0,0,0,6,10062016,-1,2,21,0,3,1,5,2,0,1,3,0,0
25,0,-1,0,0,0,6,10062016,-1,2,7,21,3,1,5,2,0,1,1,0,0
25,0,-1,0,0,0,3,10062016,-1,2,3,7,3,1,5,2,0,1,3,0,0
23,0,10,1,1,0,4,10062016,3,3,10,0,3,0,7,2,0,1,2,3,0
23,0,10,1,1,0,4,10062016,3,3,12,10,3,0,7,2,0,1,1,3,0
23,0,10,1,1,0,3,10062016,3,3,3,12,3,0,7,2,0,1,2,3,0
23,0,10,1,1,0,8,10062016,3,3,24,0,3,0,7,2,0,1,2,3,0
23,0,10,1,1,0,3,10062016,3,3,3,24,3,0,7,2,0,1,2,3,0
23,0,10,1,1,0,8,10062016,3,3,24,0,3,0,7,2,0,1,2,3,0
23,0,10,1,1,0,6,10062016,3,3,21,24,3,0,7,2,0,1,1,3,0
47,0,60,0,0,0,4,10068652,21,1,12,0,4,3,3,3,4,1,2,0,2
47,0,60,0,0,0,2,10068652,21,1,2,12,4,3,3,3,4,1,1,0,2
47,0,60,0,0,0,3,10068652,21,1,3,3,4,3,3,3,4,1,4,0,2
40,0,45,0,0,0,2,10068652,11,2,2,0,4,0,2,3,4,0,4,0,2
40,0,45,0,0,0,3,10068652,11,2,3,3,4,0,2,3,4,0,4,0,2
25,0,15,0,5,0,10,10068652,6,3,16,0,4,0,4,3,4,3,2,0,2
25,0,15,0,5,0,10,10068652,6,3,16,16,4,0,4,3,4,3,1,0,2
25,0,15,0,5,0,10,10068652,6,3,16,16,4,0,4,3,4,3,1,0,2
25,0,15,0,5,0,3,10068652,6,3,3,16,4,0,4,3,4,3,2,0,2
15,2,-1,-1,-1,0,8,10068652,-1,4,13,0,4,1,2,3,4,0,2,0,2
15,2,-1,-1,-1,0,3,10068652,-1,4,3,13,4,1,2,3,4,0,2,0,2
62,0,10,0,2,1,2,10076143,1,1,2,0,2,0,4,1,13,0,4,0,1
62,0,10,0,2,1,10,10076143,1,1,26,3,2,0,4,1,13,0,1,0,1
62,0,10,0,2,1,11,10076143,1,1,17,27,2,0,4,1,13,0,1,0,1
62,0,10,0,2,1,3,10076143,1,1,3,17,2,0,4,1,13,0,4,0,1
67,0,-1,0,0,1,5,10076143,-1,2,6,0,2,1,2,1,13,0,0,0,1
67,0,-1,0,0,1,3,10076143,-1,2,3,6,2,1,2,1,13,0,0,0,1
58,0,-1,1,0,0,5,10077542,-1,1,15,0,1,1,2,0,0,0,0,0,0
58,0,-1,1,0,0,3,10077542,-1,1,3,15,1,1,2,0,0,0,0,0,0
50,0,15,0,7,1,12,10081521,14,1,25,0,3,0,5,3,11,1,2,0,2
50,0,15,0,7,1,3,10081521,14,1,3,25,3,0,5,3,11,1,2,0,2
50,0,15,0,7,1,6,10081521,14,1,22,0,3,0,5,3,11,1,3,0,2
50,0,15,0,7,1,6,10081521,14,1,21,22,3,0,5,3,11,1,1,0,2
50,0,15,0,7,1,3,10081521,14,1,3,21,3,0,5,3,11,1,3,0,2
23,0,5,7,7,1,12,10081521,3,3,25,0,3,6,7,3,11,1,2,0,2
23,0,5,7,7,1,3,10081521,3,3,3,25,3,6,7,3,11,1,2,0,2
23,0,5,7,7,1,6,10081521,3,3,27,0,3,6,7,3,11,1,3,0,2
23,0,5,7,7,1,6,10081521,3,3,27,28,3,6,7,3,11,1,1,0,2
23,0,5,7,7,1,6,10081521,3,3,27,28,3,6,7,3,11,1,1,0,2
23,0,5,7,7,1,6,10081521,3,3,27,28,3,6,7,3,11,1,1,0,2
23,0,5,7,7,1,3,10081521,3,3,3,28,3,6,7,3,11,1,3,0,2
31,0,3,0,20,0,1,10084755,0,1,9,0,2,0,4,2,9,1,2,0,2
31,0,3,0,20,0,3,10084755,0,1,3,9,2,0,4,2,9,1,2,0,2
31,0,3,0,20,0,1,10084755,0,1,28,0,2,0,4,2,9,1,2,0,2
31,0,3,0,20,0,3,10084755,0,1,3,29,2,0,4,2,9,1,2,0,2
30,0,15,0,0,0,2,10084755,5,2,2,0,2,6,5,2,9,2,4,0,2
30,0,15,0,0,0,1,10084755,5,2,9,3,2,6,5,2,9,2,1,0,2
30,0,15,0,0,0,3,10084755,5,2,3,9,2,6,5,2,9,2,2,0,2
30,0,15,0,0,0,11,10084755,5,2,17,0,2,6,5,2,9,2,4,0,2
30,0,15,0,0,0,3,10084755,5,2,3,17,2,6,5,2,9,2,4,0,2
