R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,WEBUSE.1,TRIPPURP,WKFMHMXX,HHFAMINC2
56,0,90,1,3,0,0,30020915,68.16,1,6,0,2,1,5,2,7,1,0,0,0,2
56,0,90,1,3,0,3,30020915,68.16,1,7,6,2,1,5,2,7,1,0,1,0,2
56,0,90,1,3,0,2,30020915,68.16,1,3,7,2,1,5,2,7,1,0,2,0,2
57,0,-1,1,3,0,3,30020915,-9.0,2,7,0,2,3,7,2,7,1,0,2,0,2
57,0,-1,1,3,0,2,30020915,-9.0,2,15,7,2,3,7,2,7,1,0,2,0,2
57,0,-1,1,3,0,8,30020915,-9.0,2,13,15,2,3,7,2,7,1,0,4,0,2
57,0,-1,1,3,0,2,30020915,-9.0,2,3,13,2,3,7,2,7,1,0,4,0,2
57,0,-1,1,3,0,0,30020915,-9.0,2,6,0,2,3,7,2,7,1,0,0,0,2
57,0,-1,1,3,0,3,30020915,-9.0,2,7,6,2,3,7,2,7,1,0,1,0,2
57,0,-1,1,3,0,2,30020915,-9.0,2,3,7,2,3,7,2,7,1,0,2,0,2
60,0,60,0,4,0,4,30021637,13.87,1,8,0,1,1,7,1,8,1,0,3,0,2
60,0,60,0,4,0,8,30021637,13.87,1,12,8,1,1,7,1,8,1,0,1,0,2
60,0,60,0,4,0,3,30021637,13.87,1,7,12,1,1,7,1,8,1,0,1,0,2
60,0,60,0,4,0,8,30021637,13.87,1,12,7,1,1,7,1,8,1,0,1,0,2
60,0,60,0,4,0,4,30021637,13.87,1,8,12,1,1,7,1,8,1,0,1,0,2
60,0,60,0,4,0,3,30021637,13.87,1,7,8,1,1,7,1,8,1,0,1,0,2
60,0,60,0,4,0,2,30021637,13.87,1,3,7,1,1,7,1,8,1,0,2,0,2
64,0,-1,0,2,0,8,30021732,-9.0,1,13,0,2,0,2,1,3,1,0,4,0,2
64,0,-1,0,2,0,2,30021732,-9.0,1,3,13,2,0,2,1,3,1,0,4,0,2
59,0,12,1,7,0,8,30021736,2.97,1,12,0,1,1,4,1,4,1,0,4,0,0
59,0,12,1,7,0,0,30021736,2.97,1,4,12,1,1,4,1,4,1,0,1,0,0
59,0,12,1,7,0,1,30021736,2.97,1,5,4,1,1,4,1,4,1,0,1,0,0
59,0,12,1,7,0,2,30021736,2.97,1,3,5,1,1,4,1,4,1,0,2,0,0
35,0,-1,0,2,1,1,30021764,-9.0,1,2,0,5,3,3,2,3,1,0,2,0,2
35,0,-1,0,2,1,1,30021764,-9.0,1,2,3,5,3,3,2,3,1,0,1,0,2
35,0,-1,0,2,1,2,30021764,-9.0,1,3,3,5,3,3,2,3,1,0,2,0,2
5,1,-1,3,7,1,1,30021764,-9.0,3,2,0,5,0,3,2,3,1,0,2,0,2
5,1,-1,3,7,1,1,30021764,-9.0,3,2,3,5,0,3,2,3,1,0,1,0,2
5,1,-1,3,7,1,2,30021764,-9.0,3,3,3,5,0,3,2,3,1,0,2,0,2
5,1,-1,3,7,1,1,30021764,-9.0,4,2,0,5,0,3,2,3,1,0,2,0,2
5,1,-1,3,7,1,1,30021764,-9.0,4,2,3,5,0,3,2,3,1,0,1,0,2
5,1,-1,3,7,1,2,30021764,-9.0,4,3,3,5,0,3,2,3,1,0,2,0,2
73,0,-1,0,0,0,7,30022474,-9.0,1,16,0,3,0,6,1,2,1,0,3,0,0
73,0,-1,0,0,0,2,30022474,-9.0,1,3,16,3,0,6,1,2,1,0,3,0,0
73,0,-1,0,0,0,0,30022474,-9.0,1,4,0,3,0,6,1,2,1,0,0,0,0
73,0,-1,0,0,0,2,30022474,-9.0,1,3,4,3,0,6,1,2,1,0,0,0,0
73,0,-1,0,0,0,5,30022474,-9.0,1,9,0,3,0,6,1,2,1,0,3,0,0
73,0,-1,0,0,0,2,30022474,-9.0,1,3,9,3,0,6,1,2,1,0,3,0,0
69,0,-1,0,0,0,0,30022474,-9.0,2,4,0,3,0,4,1,2,1,0,0,0,0
69,0,-1,0,0,0,2,30022474,-9.0,2,3,4,3,0,4,1,2,1,0,0,0,0
69,0,-1,0,0,0,5,30022474,-9.0,2,9,0,3,0,4,1,2,1,0,3,0,0
69,0,-1,0,0,0,2,30022474,-9.0,2,3,9,3,0,4,1,2,1,0,3,0,0
48,2,75,0,0,0,5,30022474,7.38,3,9,0,3,4,2,1,2,1,0,3,0,0
48,2,75,0,0,0,2,30022474,7.38,3,3,9,3,4,2,1,2,1,0,3,0,0
70,0,-1,0,10,0,1,30024242,-9.0,1,2,0,2,0,6,0,4,5,1,2,0,0
70,0,-1,0,10,0,1,30024242,-9.0,1,1,3,2,0,6,0,4,5,1,1,0,0
70,0,-1,0,10,0,1,30024242,-9.0,1,5,2,2,0,6,0,4,5,1,1,0,0
70,0,-1,0,10,0,1,30024242,-9.0,1,1,5,2,0,6,0,4,5,1,1,0,0
70,0,-1,0,10,0,1,30024242,-9.0,1,2,2,2,0,6,0,4,5,1,1,0,0
70,0,-1,0,10,0,2,30024242,-9.0,1,3,3,2,0,6,0,4,5,1,2,0,0
56,0,-1,0,10,0,1,30024242,-9.0,2,2,0,2,0,8,0,4,5,1,2,0,0
56,0,-1,0,10,0,1,30024242,-9.0,2,1,3,2,0,8,0,4,5,1,1,0,0
56,0,-1,0,10,0,1,30024242,-9.0,2,5,2,2,0,8,0,4,5,1,1,0,0
56,0,-1,0,10,0,1,30024242,-9.0,2,1,5,2,0,8,0,4,5,1,1,0,0
56,0,-1,0,10,0,1,30024242,-9.0,2,2,2,2,0,8,0,4,5,1,1,0,0
56,0,-1,0,10,0,2,30024242,-9.0,2,3,3,2,0,8,0,4,5,1,2,0,0
56,0,-1,0,10,0,1,30024242,-9.0,2,2,0,2,0,8,0,4,5,1,2,0,0
56,0,-1,0,10,0,2,30024242,-9.0,2,3,3,2,0,8,0,4,5,1,2,0,0
59,0,35,0,7,0,8,30026380,18.46,1,12,0,2,2,1,1,5,1,0,4,0,2
31,0,-1,0,7,0,8,30026753,-9.0,1,13,0,1,3,4,1,5,1,0,4,0,2
31,0,-1,0,7,0,3,30026753,-9.0,1,7,13,1,3,4,1,5,1,0,1,0,2
31,0,-1,0,7,0,1,30026753,-9.0,1,2,7,1,3,4,1,5,1,0,1,0,2
31,0,-1,0,7,0,2,30026753,-9.0,1,3,3,1,3,4,1,5,1,0,2,0,2
38,0,50,0,5,0,8,30027254,12.56,1,12,0,4,1,3,2,2,1,0,4,0,0
38,0,50,0,5,0,3,30027254,12.56,1,7,12,4,1,3,2,2,1,0,1,0,0
38,0,50,0,5,0,2,30027254,12.56,1,3,7,4,1,3,2,2,1,0,2,0,0
39,0,10,0,5,0,4,30027254,0.86,2,8,0,4,5,8,2,2,1,0,3,0,0
39,0,10,0,5,0,4,30027254,0.86,2,8,8,4,5,8,2,2,1,0,1,0,0
39,0,10,0,5,0,7,30027254,0.86,2,17,8,4,5,8,2,2,1,0,1,0,0
39,0,10,0,5,0,2,30027254,0.86,2,3,17,4,5,8,2,2,1,0,3,0,0
39,0,10,0,5,0,0,30027254,0.86,2,4,0,4,5,8,2,2,1,0,0,0,0
39,0,10,0,5,0,2,30027254,0.86,2,3,4,4,5,8,2,2,1,0,0,0,0
39,0,10,0,5,0,8,30027254,0.86,2,12,0,4,5,8,2,2,1,0,4,0,0
39,0,10,0,5,0,2,30027254,0.86,2,3,12,4,5,8,2,2,1,0,4,0,0
6,1,-1,2,3,0,4,30027254,-9.0,3,8,0,4,0,4,2,2,1,0,3,0,0
6,1,-1,2,3,0,6,30027254,-9.0,3,14,8,4,0,4,2,2,1,0,1,0,0
6,1,-1,2,3,0,6,30027254,-9.0,3,18,14,4,0,4,2,2,1,0,1,0,0
6,1,-1,2,3,0,2,30027254,-9.0,3,3,18,4,0,4,2,2,1,0,3,0,0
71,0,-1,0,0,1,8,30027416,-9.0,1,12,0,2,3,4,1,3,1,0,4,0,2
71,0,-1,0,0,1,1,30027416,-9.0,1,2,12,2,3,4,1,3,1,0,1,0,2
71,0,-1,0,0,1,8,30027416,-9.0,1,12,3,2,3,4,1,3,1,0,1,0,2
71,0,-1,0,0,1,2,30027416,-9.0,1,3,12,2,3,4,1,3,1,0,4,0,2
69,0,-1,3,0,1,7,30027416,-9.0,2,11,0,2,0,2,1,3,1,0,3,0,2
69,0,-1,3,0,1,2,30027416,-9.0,2,3,11,2,0,2,1,3,1,0,3,0,2
34,0,-1,0,7,0,4,30028661,-9.0,1,8,0,3,3,2,2,1,1,0,3,0,0
34,0,-1,0,7,0,2,30028661,-9.0,1,3,8,3,3,2,2,1,1,0,3,0,0
36,0,30,0,10,0,8,30028661,4.99,2,12,0,3,1,2,2,1,1,0,4,0,0
36,0,30,0,10,0,2,30028661,4.99,2,3,12,3,1,2,2,1,1,0,4,0,0
11,1,-1,2,7,0,6,30028661,-9.0,3,14,0,3,0,2,2,1,1,0,3,0,0
11,1,-1,2,7,0,2,30028661,-9.0,3,3,14,3,0,2,2,1,1,0,3,0,0
73,0,-1,0,2,0,3,30029010,-9.0,1,7,0,1,0,5,0,9,3,2,2,0,1
73,0,-1,0,2,0,2,30029010,-9.0,1,3,7,1,0,5,0,9,3,2,2,0,1
73,0,-1,0,2,0,0,30029010,-9.0,1,6,0,1,0,5,0,9,3,2,0,0,1
73,0,-1,0,2,0,3,30029010,-9.0,1,7,6,1,0,5,0,9,3,2,1,0,1
73,0,-1,0,2,0,2,30029010,-9.0,1,3,7,1,0,5,0,9,3,2,2,0,1
58,0,15,0,0,0,8,30029762,12.25,1,12,0,1,2,2,1,2,1,0,4,0,0
58,0,15,0,0,0,2,30029762,12.25,1,3,12,1,2,2,1,2,1,0,4,0,0
27,0,50,0,10,0,8,30030912,22.67,1,12,0,4,2,2,2,7,1,0,4,0,2
27,0,50,0,10,0,2,30030912,22.67,1,3,12,4,2,2,2,7,1,0,4,0,2
27,0,60,0,5,0,4,30030912,22.67,2,8,0,4,1,4,2,7,1,0,3,0,2
27,0,60,0,5,0,8,30030912,22.67,2,12,8,4,1,4,2,7,1,0,1,0,2
27,0,60,0,5,0,4,30030912,22.67,2,8,12,4,1,4,2,7,1,0,1,0,2
27,0,60,0,5,0,2,30030912,22.67,2,3,8,4,1,4,2,7,1,0,3,0,2
6,1,-1,0,7,0,6,30030912,-9.0,3,14,0,4,0,3,2,7,1,0,3,0,2
6,1,-1,0,7,0,2,30030912,-9.0,3,3,14,4,0,3,2,7,1,0,3,0,2
6,1,-1,0,7,0,2,30030912,-9.0,3,3,0,4,0,3,2,7,1,0,3,0,2
50,0,35,0,5,0,8,30032429,16.15,1,12,0,6,1,2,4,8,1,0,4,0,2
50,0,35,0,5,0,2,30032429,16.15,1,3,12,6,1,2,4,8,1,0,4,0,2
49,0,-1,0,10,0,0,30032429,-9.0,2,4,0,6,3,2,4,8,1,0,0,0,2
49,0,-1,0,10,0,2,30032429,-9.0,2,15,4,6,3,2,4,8,1,0,0,0,2
20,0,35,0,2,0,8,30032429,16.15,3,12,0,6,1,4,4,8,1,0,4,0,2
20,0,35,0,2,0,6,30032429,16.15,3,14,12,6,1,4,4,8,1,0,1,0,2
20,0,35,0,2,0,3,30032429,16.15,3,7,14,6,1,4,4,8,1,0,1,0,2
20,0,35,0,2,0,2,30032429,16.15,3,3,7,6,1,4,4,8,1,0,2,0,2
20,0,35,0,2,0,6,30032429,16.15,4,14,0,6,1,5,4,8,1,0,3,0,2
20,0,35,0,2,0,8,30032429,16.15,4,12,14,6,1,5,4,8,1,0,1,0,2
20,0,35,0,2,0,2,30032429,16.15,4,3,12,6,1,5,4,8,1,0,4,0,2
20,0,35,0,2,0,3,30032429,16.15,4,7,0,6,1,5,4,8,1,0,2,0,2
20,0,35,0,2,0,2,30032429,16.15,4,3,7,6,1,5,4,8,1,0,2,0,2
17,0,-1,0,5,0,6,30032429,-9.0,5,14,0,6,0,4,4,8,1,0,3,0,2
17,0,-1,0,5,0,2,30032429,-9.0,5,3,14,6,0,4,4,8,1,0,3,0,2
17,0,-1,0,5,0,0,30032429,-9.0,5,4,0,6,0,4,4,8,1,0,0,0,2
17,0,-1,0,5,0,2,30032429,-9.0,5,3,4,6,0,4,4,8,1,0,0,0,2
15,0,-1,0,6,0,6,30032429,-9.0,6,14,0,6,0,2,4,8,1,0,3,0,2
15,0,-1,0,6,0,2,30032429,-9.0,6,3,14,6,0,2,4,8,1,0,3,0,2
51,0,10,0,14,0,0,30033030,3.71,1,6,0,2,2,4,1,3,1,0,0,0,2
