R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,HHFAMINC2,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,WEBUSE,TRIPPURP,WKFMHMXX
56,Yes,90,1,3,Urban,Home,30020915,68.16,1,Home,High,BuyMeals,2,Car,5,2,morethan200K,1,Daily,HBSHOP,Skip
57,Yes,-1,1,3,Urban,Meals,30020915,-9.0,2,BuyMeals,High,Home,2,NotAscertained,7,2,morethan200K,1,Daily,HBSHOP,Skip
57,Yes,-1,1,3,Urban,Home,30020915,-9.0,2,WFH,High,BuyMeals,2,NotAscertained,7,2,morethan200K,1,Daily,HBSHOP,Skip
57,Yes,-1,1,3,Urban,WorkRelated,30020915,-9.0,2,WorkRelated,High,WFH,2,NotAscertained,7,2,morethan200K,1,Daily,HBW,Skip
57,Yes,-1,1,3,Urban,Home,30020915,-9.0,2,Home,High,WorkRelated,2,NotAscertained,7,2,morethan200K,1,Daily,HBW,Skip
57,Yes,-1,1,3,Urban,SocialRecreation,30020915,-9.0,2,SocialRecreational,High,Home,2,NotAscertained,7,2,morethan200K,1,Daily,HBSOCREC,Skip
57,Yes,-1,1,3,Urban,Meals,30020915,-9.0,2,BuyMeals,High,SocialRecreational,2,NotAscertained,7,2,morethan200K,1,Daily,NHB,Skip
57,Yes,-1,1,3,Urban,Home,30020915,-9.0,2,Home,High,BuyMeals,2,NotAscertained,7,2,morethan200K,1,Daily,HBSHOP,Skip
60,Yes,60,0,4,Urban,TransportSomeone,30021637,13.87,1,PickUpOrDropSomeone,High,Home,1,Car,7,1,150K-200K,1,Daily,HBO,Skip
60,Yes,60,0,4,Urban,WorkRelated,30021637,13.87,1,Work,High,PickUpOrDropSomeone,1,Car,7,1,150K-200K,1,Daily,NHB,Skip
60,Yes,60,0,4,Urban,Meals,30021637,13.87,1,BuyMeals,High,Work,1,Car,7,1,150K-200K,1,Daily,NHB,Skip
60,Yes,60,0,4,Urban,WorkRelated,30021637,13.87,1,Work,High,BuyMeals,1,Car,7,1,150K-200K,1,Daily,NHB,Skip
60,Yes,60,0,4,Urban,TransportSomeone,30021637,13.87,1,PickUpOrDropSomeone,High,Work,1,Car,7,1,150K-200K,1,Daily,NHB,Skip
60,Yes,60,0,4,Urban,Meals,30021637,13.87,1,BuyMeals,High,PickUpOrDropSomeone,1,Car,7,1,150K-200K,1,Daily,NHB,Skip
60,Yes,60,0,4,Urban,Home,30021637,13.87,1,Home,High,BuyMeals,1,Car,7,1,150K-200K,1,Daily,HBSHOP,Skip
64,Yes,-1,0,2,Urban,WorkRelated,30021732,-9.0,1,WorkRelated,High,Home,2,Skip,2,1,75K-100K,1,Daily,HBW,Skip
64,Yes,-1,0,2,Urban,Home,30021732,-9.0,1,Home,High,WorkRelated,2,Skip,2,1,75K-100K,1,Daily,HBW,Skip
59,Yes,12,1,7,Urban,WorkRelated,30021736,2.97,1,Work,ExtremelyLow,Home,1,Car,4,1,10K-15K,1,Daily,HBW,Skip
59,Yes,12,1,7,Urban,SocialRecreation,30021736,2.97,1,GoToGym,ExtremelyLow,Work,1,Car,4,1,10K-15K,1,Daily,NHB,Skip
59,Yes,12,1,7,Urban,Shopping,30021736,2.97,1,BuyService,ExtremelyLow,GoToGym,1,Car,4,1,10K-15K,1,Daily,NHB,Skip
59,Yes,12,1,7,Urban,Home,30021736,2.97,1,Home,ExtremelyLow,BuyService,1,Car,4,1,10K-15K,1,Daily,HBSHOP,Skip
35,Yes,-1,0,2,Rural,Shopping,30021764,-9.0,1,BuyGoods,High,Home,5,NotAscertained,3,2,75K-100K,1,Daily,HBSHOP,Skip
35,Yes,-1,0,2,Rural,Shopping,30021764,-9.0,1,BuyGoods,High,BuyGoods,5,NotAscertained,3,2,75K-100K,1,Daily,NHB,Skip
35,Yes,-1,0,2,Rural,Home,30021764,-9.0,1,Home,High,BuyGoods,5,NotAscertained,3,2,75K-100K,1,Daily,HBSHOP,Skip
5,Skip,-1,3,7,Rural,Shopping,30021764,-9.0,3,BuyGoods,High,Home,5,Skip,3,2,75K-100K,1,Daily,HBSHOP,Skip
5,Skip,-1,3,7,Rural,Shopping,30021764,-9.0,3,BuyGoods,High,BuyGoods,5,Skip,3,2,75K-100K,1,Daily,NHB,Skip
