R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,HHFAMINC2,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX
40,Yes,-1,0,5,Urban,ReturnHome,10061523,-1,2,Home,2,PickUpSomeone,4,Skip,9,0,morethan100K,AlmostEveryday,HBO,Skip
40,Yes,-1,0,5,Urban,Shopping,10061523,-1,2,BuyGoods,2,Home,4,Skip,9,0,morethan100K,AlmostEveryday,HBSHOP,Skip
40,Yes,-1,0,5,Urban,ReturnHome,10061523,-1,2,Home,2,BuyGoods,4,Skip,9,0,morethan100K,AlmostEveryday,HBSHOP,Skip
9,Skip,-1,-1,-1,Urban,School,10061523,-1,3,GoSchoolAsStudent,2,Home,4,Skip,4,0,morethan100K,Skip,HBO,Skip
9,Skip,-1,-1,-1,Urban,ReturnHome,10061523,-1,3,Home,2,GoSchoolAsStudent,4,Skip,4,0,morethan100K,Skip,HBO,Skip
9,Skip,-1,-1,-1,Urban,School,10061523,-1,3,Library,2,Home,4,Skip,4,0,morethan100K,Skip,HBO,Skip
9,Skip,-1,-1,-1,Urban,ReturnHome,10061523,-1,3,Home,2,Library,4,Skip,4,0,morethan100K,Skip,HBO,Skip
6,Skip,-1,-1,-1,Urban,School,10061523,-1,4,GoSchoolAsStudent,2,Home,4,Skip,4,0,morethan100K,Skip,HBO,Skip
6,Skip,-1,-1,-1,Urban,ReturnHome,10061523,-1,4,Home,2,GoSchoolAsStudent,4,Skip,4,0,morethan100K,Skip,HBO,Skip
6,Skip,-1,-1,-1,Urban,School,10061523,-1,4,Library,2,Home,4,Skip,4,0,morethan100K,Skip,HBO,Skip
6,Skip,-1,-1,-1,Urban,ReturnHome,10061523,-1,4,Home,2,Library,4,Skip,4,0,morethan100K,Skip,HBO,Skip
37,Yes,30,0,5,Urban,Religious,10061895,19,1,GoReligiousActivityRe,1,Home,3,Van,4,1,30K-35K,OnceWeek,HBO,Skip
37,Yes,30,0,5,Urban,ReturnHome,10061895,19,1,Home,1,GoReligiousActivityRe,3,Van,4,1,30K-35K,OnceWeek,HBO,Skip
37,Yes,30,0,5,Urban,Shopping,10061895,19,1,BuyGoods,1,Home,3,Van,4,1,30K-35K,OnceWeek,HBSHOP,Skip
37,Yes,30,0,5,Urban,ReturnHome,10061895,19,1,Home,1,BuyGoods,3,Van,4,1,30K-35K,OnceWeek,HBSHOP,Skip
11,Skip,-1,-1,-1,Urban,Family,10061895,-1,2,FamilyPersonalBusiness,1,FamilyPersonalBusiness,3,Skip,3,1,30K-35K,Skip,NHB,Skip
11,Skip,-1,-1,-1,Urban,Shopping,10061895,-1,2,BuyGoods,1,FamilyPersonalBusiness,3,Skip,3,1,30K-35K,Skip,NHB,Skip
11,Skip,-1,-1,-1,Urban,ReturnHome,10061895,-1,2,Home,1,BuyGoods,3,Skip,3,1,30K-35K,Skip,HBSHOP,Skip
7,Skip,-1,-1,-1,Urban,ReturnHome,10061895,-1,3,Home,1,DontKnow,3,Skip,3,1,30K-35K,Skip,HBO,Skip
7,Skip,-1,-1,-1,Urban,Shopping,10061895,-1,3,BuyGoods,1,Home,3,Skip,3,1,30K-35K,Skip,HBSHOP,Skip
7,Skip,-1,-1,-1,Urban,ReturnHome,10061895,-1,3,Home,1,BuyGoods,3,Skip,3,1,30K-35K,Skip,HBSHOP,Skip
24,Yes,15,0,21,Urban,School,10062016,3,1,GoSchoolAsStudent,0,Home,3,Car,2,2,15K-20K,AlmostEveryday,HBO,OnceWeekMore
24,Yes,15,0,21,Urban,ReturnHome,10062016,3,1,Home,0,GoSchoolAsStudent,3,Car,2,2,15K-20K,AlmostEveryday,HBO,OnceWeekMore
25,Yes,-1,0,0,Urban,School,10062016,-1,2,GoSchoolAsStudent,0,Home,3,Skip,5,2,15K-20K,AlmostEveryday,HBO,Skip
