URBRUR,WKFMHMXX,GCDWORK,TRIPPURP,NBIKETRP,PERSONID,HHSIZE,CNTTDTR,R_AGE,HHFAMINC,DRIVER,WHYFROM,TIMETOWK,WHYTRP1S,HHFAMINC2,WHYTO,WEBUSE,WEBUSE,NWALKTRP,WRKCOUNT,HOUSEID,WRKTRANS
Urban,Skip,-9.0,HBW,0,1,2,2,64,75K-100K,Yes,Home,-1,WorkRelated,High,WorkRelated,1,Daily,2,1,30021732,Skip
Urban,Skip,-9.0,HBW,0,1,2,2,64,75K-100K,Yes,WorkRelated,-1,Home,High,Home,1,Daily,2,1,30021732,Skip
Urban,Skip,2.97,HBW,1,1,1,4,59,10K-15K,Yes,Home,12,WorkRelated,ExtremelyLow,Work,1,Daily,7,1,30021736,Car
Urban,Skip,2.97,NHB,1,1,1,4,59,10K-15K,Yes,Work,12,SocialRecreation,ExtremelyLow,GoToGym,1,Daily,7,1,30021736,Car
Urban,Skip,2.97,NHB,1,1,1,4,59,10K-15K,Yes,GoToGym,12,Shopping,ExtremelyLow,BuyService,1,Daily,7,1,30021736,Car
Urban,Skip,2.97,HBSHOP,1,1,1,4,59,10K-15K,Yes,BuyService,12,Home,ExtremelyLow,Home,1,Daily,7,1,30021736,Car
Rural,Skip,-9.0,HBSHOP,0,1,5,3,35,75K-100K,Yes,Home,-1,Shopping,High,BuyGoods,1,Daily,2,2,30021764,NotAscertained
Rural,Skip,-9.0,NHB,0,1,5,3,35,75K-100K,Yes,BuyGoods,-1,Shopping,High,BuyGoods,1,Daily,2,2,30021764,NotAscertained
Rural,Skip,-9.0,HBSHOP,0,1,5,3,35,75K-100K,Yes,BuyGoods,-1,Home,High,Home,1,Daily,2,2,30021764,NotAscertained
Rural,Skip,-9.0,HBSHOP,3,3,5,3,5,75K-100K,Skip,Home,-1,Shopping,High,BuyGoods,1,Daily,7,2,30021764,Skip
Rural,Skip,-9.0,NHB,3,3,5,3,5,75K-100K,Skip,BuyGoods,-1,Shopping,High,BuyGoods,1,Daily,7,2,30021764,Skip
