TIMETOWK,GCDWORK,TRIPPURP,WHYTO,WKFMHMXX,DRIVER,WRKTRANS,NWALKTRP,HHSIZE,WHYTRP1S,WHYFROM,NBIKETRP,R_AGE,CNTTDTR,WRKCOUNT,URBRUR,HHFAMINC,WEBUSE,WEBUSE.1,HOUSEID,PERSONID,HHFAMINC2
60,13.87,3,8,0,0,1,4,1,4,0,0,60,7,1,0,8,1,0,30021637,1,2
60,13.87,1,12,0,0,1,4,1,8,8,0,60,7,1,0,8,1,0,30021637,1,2
60,13.87,1,7,0,0,1,4,1,3,12,0,60,7,1,0,8,1,0,30021637,1,2
60,13.87,1,12,0,0,1,4,1,8,7,0,60,7,1,0,8,1,0,30021637,1,2
60,13.87,1,8,0,0,1,4,1,4,12,0,60,7,1,0,8,1,0,30021637,1,2
60,13.87,1,7,0,0,1,4,1,3,8,0,60,7,1,0,8,1,0,30021637,1,2
60,13.87,2,3,0,0,1,4,1,2,7,0,60,7,1,0,8,1,0,30021637,1,2
-1,-9.0,4,13,0,0,0,2,2,8,0,0,64,2,1,0,3,1,0,30021732,1,2
-1,-9.0,4,3,0,0,0,2,2,2,13,0,64,2,1,0,3,1,0,30021732,1,2
12,2.97,4,12,0,0,1,7,1,8,0,1,59,4,1,0,4,1,0,30021736,1,0
12,2.97,1,4,0,0,1,7,1,0,12,1,59,4,1,0,4,1,0,30021736,1,0
12,2.97,1,5,0,0,1,7,1,1,4,1,59,4,1,0,4,1,0,30021736,1,0
12,2.97,2,3,0,0,1,7,1,2,5,1,59,4,1,0,4,1,0,30021736,1,0
-1,-9.0,2,2,0,0,3,2,5,1,0,0,35,3,2,1,3,1,0,30021764,1,2
-1,-9.0,1,2,0,0,3,2,5,1,3,0,35,3,2,1,3,1,0,30021764,1,2
-1,-9.0,2,3,0,0,3,2,5,2,3,0,35,3,2,1,3,1,0,30021764,1,2
-1,-9.0,2,2,0,1,0,7,5,1,0,3,5,3,2,1,3,1,0,30021764,3,2
-1,-9.0,1,2,0,1,0,7,5,1,3,3,5,3,2,1,3,1,0,30021764,3,2
-1,-9.0,2,3,0,1,0,7,5,2,3,3,5,3,2,1,3,1,0,30021764,3,2
-1,-9.0,2,2,0,1,0,7,5,1,0,3,5,3,2,1,3,1,0,30021764,4,2
-1,-9.0,1,2,0,1,0,7,5,1,3,3,5,3,2,1,3,1,0,30021764,4,2
-1,-9.0,2,3,0,1,0,7,5,2,3,3,5,3,2,1,3,1,0,30021764,4,2
-1,-9.0,3,16,0,0,0,0,3,7,0,0,73,6,1,0,2,1,0,30022474,1,0
-1,-9.0,3,3,0,0,0,0,3,2,16,0,73,6,1,0,2,1,0,30022474,1,0
-1,-9.0,0,4,0,0,0,0,3,0,0,0,73,6,1,0,2,1,0,30022474,1,0
-1,-9.0,0,3,0,0,0,0,3,2,4,0,73,6,1,0,2,1,0,30022474,1,0
-1,-9.0,3,9,0,0,0,0,3,5,0,0,73,6,1,0,2,1,0,30022474,1,0
-1,-9.0,3,3,0,0,0,0,3,2,9,0,73,6,1,0,2,1,0,30022474,1,0
-1,-9.0,0,4,0,0,0,0,3,0,0,0,69,4,1,0,2,1,0,30022474,2,0
-1,-9.0,0,3,0,0,0,0,3,2,4,0,69,4,1,0,2,1,0,30022474,2,0
-1,-9.0,3,9,0,0,0,0,3,5,0,0,69,4,1,0,2,1,0,30022474,2,0
-1,-9.0,3,3,0,0,0,0,3,2,9,0,69,4,1,0,2,1,0,30022474,2,0
75,7.38,3,9,0,2,4,0,3,5,0,0,48,2,1,0,2,1,0,30022474,3,0
75,7.38,3,3,0,2,4,0,3,2,9,0,48,2,1,0,2,1,0,30022474,3,0
-1,-9.0,2,2,0,0,0,10,2,1,0,0,70,6,0,0,4,5,1,30024242,1,0
-1,-9.0,1,1,0,0,0,10,2,1,3,0,70,6,0,0,4,5,1,30024242,1,0
-1,-9.0,1,5,0,0,0,10,2,1,2,0,70,6,0,0,4,5,1,30024242,1,0
-1,-9.0,1,1,0,0,0,10,2,1,5,0,70,6,0,0,4,5,1,30024242,1,0
-1,-9.0,1,2,0,0,0,10,2,1,2,0,70,6,0,0,4,5,1,30024242,1,0
-1,-9.0,2,3,0,0,0,10,2,2,3,0,70,6,0,0,4,5,1,30024242,1,0
-1,-9.0,2,2,0,0,0,10,2,1,0,0,56,8,0,0,4,5,1,30024242,2,0
-1,-9.0,1,1,0,0,0,10,2,1,3,0,56,8,0,0,4,5,1,30024242,2,0
-1,-9.0,1,5,0,0,0,10,2,1,2,0,56,8,0,0,4,5,1,30024242,2,0
-1,-9.0,1,1,0,0,0,10,2,1,5,0,56,8,0,0,4,5,1,30024242,2,0
-1,-9.0,1,2,0,0,0,10,2,1,2,0,56,8,0,0,4,5,1,30024242,2,0
-1,-9.0,2,3,0,0,0,10,2,2,3,0,56,8,0,0,4,5,1,30024242,2,0
